0,1,2,3,4,5
B0IATHR9YX,B0FFH6T7SX,深圳不可思议运动街区,体育休闲服务;运动场馆;综合体育馆,文心四路15号海岸城购物中心B1(Ole超市旁),"113.935376,22.517481"
B0FFIDAI6W,B0FFH33NPK,顶天台篮球馆,体育休闲服务;运动场馆;篮球场馆,龙珠四路金谷创业园F栋跨界空间五楼,"113.973318,22.561430"
B0GU5ZUIDF,,诺德健游泳,体育休闲服务;运动场馆;游泳馆,辅六路与辅三路交叉口南约60米,"113.865181,22.553683"
B0FFGBD606,,稳兴隆游泳健身中心,体育休闲服务;运动场馆;游泳馆,公明办事处马山头马田小学后面,"113.877879,22.779181"
B0HRYCEVXQ,,福海足球体育公园,体育休闲服务;运动场馆;综合体育馆,福海街道福山路,"113.801478,22.694037"
B0FFIY0XG4,,塘朗雅苑泳池,体育休闲服务;运动场馆;运动场所,珠光路与龙珠一路交叉口东北220米,"113.960162,22.573216"
B0HAR50TYH,,乐博俱乐部,体育休闲服务;运动场馆;综合体育馆,广田路250-9号,"113.840586,22.801284"
B0FFG9LV17,B02F37TRST,益田威斯汀酒店-健身游泳池,体育休闲服务;运动场馆;游泳馆,深南大道9028号益田假日广场深圳华侨城店F3,"113.975995,22.537704"
B03017U2GS,,金伯乐马术学府,体育休闲服务;运动场馆;马术俱乐部,沙头管理区环珑山五点梅水库旁,"113.761733,22.805213"
B0G3GLTQN1,B02F38QTRZ,炫风轮滑速滑训练场,体育休闲服务;运动场馆;综合体育馆,上川路北苑楼,"113.894613,22.572532"
B0FFM66GEC,B0FFK9BTPK,蓝辰恒温游泳馆水上乐园,体育休闲服务;运动场馆;游泳馆,公明街道民生大道2号光明红木小镇9栋一楼,"113.910630,22.783662"
B0HA4CSKCZ,,天骄室内恒温游泳馆,体育休闲服务;运动场馆;游泳馆,公明街道上村社区仙姑庙文化创意园,"113.896225,22.785234"
B0FFF4X9IV,,深圳湾体育中心-室外篮球场,体育休闲服务;运动场馆;篮球场馆,滨海大道3001号深圳湾体育中心,"113.949190,22.519450"
B0H0X99NBE,,泳盛游泳俱乐部,体育休闲服务;运动场馆;游泳馆,西乡街道宝源路1009号宝安互联网产业基地a区1栋,"113.870559,22.561351"
B0HR9K47KL,B0FFHSTEP3,国隆室内恒温馆,体育休闲服务;运动场馆;游泳馆,前进二路智汇创新中心D座116,"113.863602,22.608926"
B0FFLF7OSS,,中泳恒温游泳馆,体育休闲服务;运动场馆;游泳馆,马田街道合水口社区红色文化教育基地(宏发嘉城对面)C栋,"113.878202,22.783336"
B0G2M4X0T0,,一马体育宝利游泳池,体育休闲服务;运动场馆;游泳馆,金开路宝利茶餐厅西50米,"113.852467,22.763317"
B0H0YDJYEX,,水之星室内恒温游泳馆,体育休闲服务;运动场馆;游泳馆,玉塘街道玉津社区玉泉东路9号108,"113.903921,22.715512"
B0FFKRJLFY,,融域名城游泳场,体育休闲服务;运动场馆;游泳馆,光明新区塘家大道融域名城,"113.933377,22.735049"
B0FFKR1NLR,,智酷教育游泳馆,体育休闲服务;运动场馆;游泳馆,沈海高速公路富源工业城,"113.860665,22.636657"
B0FFH6ODRW,B02F37VHEM,深圳职业技术学院东区游泳馆,体育休闲服务;运动场馆;游泳馆,沙河西路4089号深圳职业技术学院西丽湖校区,"113.948266,22.590882"
B0H1O9VIQG,,正浩游泳俱乐部,体育休闲服务;运动场馆;游泳馆,宝壹创意园1栋1楼(洪浪北地铁站C口步行220米),"113.909324,22.576372"
B0FFMG8Z5G,,麒沣创世纪恒温游泳池,体育休闲服务;运动场馆;游泳馆,滨海大道辅路与滨海南海立交桥交叉口东北120米,"113.930860,22.523167"
B0IAF572MG,,云玺锦庭游泳馆,体育休闲服务;运动场馆;游泳馆,云玺锦庭营销中心3楼(新安地铁C口东行50米),"113.894541,22.549034"
B0IDTU1YBR,,德高泰海滨游泳馆,体育休闲服务;运动场馆;游泳馆,西乡街道固戍社区塘东西九巷5号-10,"113.844190,22.587879"
B0IG67G4PS,,金鲨游泳健身,体育休闲服务;运动场馆;游泳馆,沙井路180号金沙童话二层,"113.807717,22.728834"
B0I627GLTV,,启鸣星恒温游泳馆,体育休闲服务;运动场馆;游泳馆,航城街道三围社区航空路30号A栋115,"113.847397,22.609324"
B0IGY5FK5C,,艺竹恒温游泳馆,体育休闲服务;运动场馆;游泳馆,马家龙二街36号艺竹恒温游泳馆,"113.930290,22.549662"
B0G0DZ7TRS,,沃尔恒温游泳健身,体育休闲服务;运动场馆;游泳馆,宝安大道辅路与蚝业路交叉口南220米,"113.807559,22.677862"
B0HU7UXCSJ,,泳动水世界,体育休闲服务;运动场馆;游泳馆,"沙井街道沙三社区,蚝乡路8号汇源蠔庭一楼泳动水世界","113.794451,22.740777"
B0GUXY8B73,,流塘阳光花园游泳馆,体育休闲服务;运动场馆;游泳馆,西乡街道前进二路流塘阳光花园一栋E座,"113.888970,22.581946"
B0FFH6CROL,,乒羽俱乐部,体育休闲服务;运动场馆;运动场所,宝安大道2121号体育中心游泳馆二楼,"113.886314,22.562538"
B0FFKTDD6F,,豪盛花园大酒店游泳池,体育休闲服务;运动场馆;游泳馆,寮盛路24号,"113.845955,22.720280"
B0FFKQHLS3,,坪洲新村二期游泳池,体育休闲服务;运动场馆;游泳馆,坪洲新村二期,"113.861930,22.560250"
B0H1U91QFD,B0FFM6L11M,天形游泳馆,体育休闲服务;运动场馆;游泳馆,18号路与茶文路交叉口东约60米,"113.951715,22.565957"
B0FFH6T96Z,,万福人家游泳馆,体育休闲服务;运动场馆;游泳馆,福永镇政丰南路万福人家小区内,"113.825256,22.668939"
B0FFKTDDJT,,宝明城大酒店-游泳池,体育休闲服务;运动场馆;游泳馆,振明路与红花中路交叉口东120米,"113.903298,22.775832"
B0HR6C9IH6,,槟城西岸泳咖游泳池,体育休闲服务;运动场馆;游泳馆,西乡街道,"113.857595,22.570269"
B0FFJJ2IU9,,香槟山游泳池,体育休闲服务;运动场馆;游泳馆,凤工路中熙香缤山,"113.881942,22.595046"
B0IULZNCIU,,阳光带一期恒温游泳馆,体育休闲服务;运动场馆;游泳馆,阳光带一期会所一楼,"113.953988,22.525921"
B0H6TY6GH7,,浩瀚游泳馆,体育休闲服务;运动场馆;游泳馆,惠科未来城三,"113.969928,22.692518"
B0HK01DFS8,,恒温游泳馆,体育休闲服务;运动场馆;游泳馆,富通丽沙幼儿园东门南60米,"113.830296,22.716328"
B0HAGHWLEH,B0FFHLKFSA,合正汇一城游泳池,体育休闲服务;运动场馆;游泳馆,合正汇一城1j栋对面(西乡地铁站B口步行220米),"113.864059,22.575970"
B0IUXZCSBH,,金域豪庭游泳馆,体育休闲服务;运动场馆;游泳馆,金菊下路一巷4号金域豪庭游泳池101室,"113.808949,22.669771"
B0H0HADZUN,,蓝泳士恒温游泳馆,体育休闲服务;运动场馆;游泳馆,新安街道宝民社区兴华二路73号瑞龙轩1楼架空层,"113.903445,22.565292"
B0ID57TXWE,,美加游泳池,体育休闲服务;运动场馆;游泳馆,华侨城美加广场,"113.977674,22.538649"
B0IDTZKAT7,,英伦名苑游泳池,体育休闲服务;运动场馆;游泳馆,英伦名苑二期,"113.957541,22.547376"
B0HKUDWUQP,,豪方天际花园游泳池,体育休闲服务;运动场馆;游泳馆,南农路豪方天际,"113.920404,22.553046"
B0HKO7K8I3,,游泳馆,体育休闲服务;运动场馆;游泳馆,展业一路与西田路交叉口南180米,"113.900219,22.800812"
B0H2H1HZHV,,雍和园游泳池,体育休闲服务;运动场馆;游泳馆,前进二路新庄园小区,"113.887408,22.587746"
B0FFGG6B9F,,冠城世家游泳池,体育休闲服务;运动场馆;游泳馆,安富路42号,"113.903784,22.565548"
B0G27CG3JL,,中信红树湾恒温游泳馆,体育休闲服务;运动场馆;游泳馆,白石二道与深湾一路交叉口西南约160米,"113.965797,22.527211"
B0FFH9QV0Y,B02F37WMQP,Super kid儿童运动馆(世纪村店),体育休闲服务;运动场馆;综合体育馆,石洲中路世纪村弘文文化广场2楼,"113.966683,22.532136"
B0H2HOLYH7,,如意家园游泳池,体育休闲服务;运动场馆;游泳馆,常兴路102号,"113.922202,22.531457"
B0H17S6PS0,B02F37W9OY,长丰花园酒店游泳池,体育休闲服务;运动场馆;游泳馆,洲石路与塘头大道交叉口东220米,"113.921263,22.672547"
B0FFHDWRD2,B0FFK0MQ5N,迈动健身,体育休闲服务;运动场馆;游泳馆,中粮锦云F座1栋,"113.887148,22.585083"
B0FFG7LZI5,,金地威新软件科技园南区篮球场,体育休闲服务;运动场馆;篮球场馆,科技南路与高新南九道交叉口西南100米,"113.949602,22.529015"
B0IRPC7Q7S,,雪尔马特室内滑雪,体育休闲服务;运动场馆;滑雪场,科技南路滨福世纪广场2楼,"113.949660,22.524985"
B0IDVCD0FI,B0FFFDQGPV,与轮共舞轮滑,体育休闲服务;运动场馆;溜冰场,宝农北巷与宝农西巷交叉口西北120米,"113.905701,22.559072"
B0FFI1A4BO,,南山区诺与诚精英游泳俱乐部,体育休闲服务;运动场馆;游泳馆,中山园路与二号路交叉口西120米路南,"113.919945,22.559367"
